Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,11/05/2024,17:15,Charleroi,Kortrijk,3,1,H,2,0,H,,12,9,8,4,11,8,5,5,0,1,0,0,2.25,3.4,3.1,2.2,3.5,3.2,,,,2.29,3.72,3,2,3.6,3.5,2.2,3.3,3,2.29,3.77,3.2,2.23,3.53,3.01,1.93,1.93,1.94,1.93,1.94,2,1.88,1.9,-0.25,1.98,1.88,2.01,1.88,2.01,1.9,1.93,1.85,2.3,3.75,2.8,2.3,3.7,2.85,,,,2.31,3.7,2.98,2,3.6,3.5,2.25,3.6,2.88,2.38,3.8,3.15,2.29,3.65,2.86,1.62,2.25,1.67,2.28,1.89,2.33,1.65,2.21,-0.25,2.03,1.83,2.02,1.87,2.12,1.99,2,1.82
B1,11/05/2024,17:15,Eupen,RWD Molenbeek,2,0,H,0,0,D,,12,18,4,7,11,13,2,7,0,1,0,0,3.3,3.8,1.95,3.4,3.7,2.05,,,,3.62,3.71,2.02,3.1,3.6,2.15,3.3,3.5,2,3.67,3.8,2.05,3.46,3.68,1.98,1.7,2.1,1.75,2.14,1.75,2.15,1.71,2.1,0.5,1.85,2,1.86,2.03,1.87,2.03,1.83,1.97,2.9,3.8,2.2,2.95,3.6,2.3,,,,3.07,3.66,2.28,3.1,3.6,2.15,3,3.5,2.2,3.12,3.89,2.3,2.95,3.59,2.25,1.7,2.1,1.75,2.14,1.82,2.17,1.72,2.11,0.25,1.88,1.98,1.89,1.99,1.95,2,1.87,1.94
B1,11/05/2024,19:45,Anderlecht,Genk,2,1,H,1,0,H,,17,19,4,3,5,14,4,3,1,2,0,0,1.95,3.5,3.6,2,3.6,3.5,,,,2.06,3.6,3.61,2.05,3.6,3.3,2,3.5,3.3,2.09,3.71,3.61,2.02,3.56,3.45,1.7,2.1,1.74,2.16,1.78,2.16,1.73,2.09,-0.5,2.03,1.83,2.07,1.83,2.08,1.83,2.02,1.79,2.05,3.6,3.3,2.05,3.7,3.3,,,,2.12,3.53,3.52,2.05,3.6,3.3,2,3.7,3.3,2.13,3.73,3.68,2.06,3.57,3.38,1.6,2.3,1.63,2.35,1.76,2.38,1.61,2.29,-0.5,2.05,1.75,2.12,1.78,2.12,1.91,2.05,1.78
B1,12/05/2024,12:30,Gent,Oud-Heverlee Leuven,0,1,A,0,1,A,,12,8,2,4,10,12,10,1,2,3,0,0,1.4,5,6.5,1.41,5.25,6.5,,,,1.4,5.38,6.88,1.36,5.5,7,1.36,5,6.5,1.41,5.4,7,1.39,5.13,6.61,1.36,3.1,1.37,3.08,1.39,3.1,1.36,3.04,-1.5,2.03,1.83,2.06,1.84,2.12,1.84,2.01,1.79,1.4,5,6.5,1.4,5.25,6.75,,,,1.39,5.32,7.16,1.36,5.5,7,1.36,5.25,7,1.41,5.7,7.3,1.38,5.2,6.77,1.4,2.88,1.4,3.04,1.4,3.35,1.36,3.06,-1.5,2.03,1.8,2.05,1.85,2.06,1.9,1.99,1.83
B1,12/05/2024,15:00,St Truiden,Mechelen,2,1,H,2,1,H,,11,7,5,3,9,12,2,1,1,0,0,0,2.3,3.5,2.88,2.4,3.7,2.7,,,,2.34,3.69,2.84,2.38,3.7,2.62,2.25,3.6,2.7,2.4,3.77,2.89,2.32,3.62,2.78,1.6,2.3,1.6,2.38,1.64,2.4,1.58,2.32,-0.25,2.05,1.8,2.05,1.81,2.16,1.81,2.02,1.77,2.2,3.6,3,2.2,3.7,2.95,,,,2.28,3.55,3.14,2.38,3.7,2.62,2.15,3.8,2.9,2.38,3.84,3.14,2.22,3.66,2.96,1.53,2.4,1.55,2.54,1.56,2.66,1.5,2.54,-0.25,1.95,1.9,1.98,1.91,2,1.93,1.93,1.87
B1,12/05/2024,17:30,Antwerp,Cercle Brugge,1,2,A,0,2,A,,16,13,4,5,9,13,6,2,1,2,0,0,2.25,3.5,3,2.25,3.6,3,,,,2.27,3.58,3.02,2.2,3.6,3,2.2,3.5,2.88,2.3,3.67,3.08,2.24,3.52,2.97,1.73,2.08,1.74,2.12,1.74,2.17,1.71,2.1,-0.25,2,1.85,1.98,1.87,2.04,1.89,1.94,1.83,2.4,3.6,2.75,2.4,3.7,2.7,,,,2.45,3.67,2.8,2.2,3.6,3,2.38,3.6,2.7,2.48,3.75,2.88,2.38,3.62,2.74,1.57,2.35,1.61,2.41,1.61,2.41,1.57,2.35,0,1.8,2.05,1.82,2.08,1.85,2.12,1.8,2.04
B1,13/05/2024,19:30,Club Brugge,St. Gilloise,2,2,D,0,0,D,,24,17,4,6,7,14,8,3,1,2,0,0,2.1,3.5,3.3,2.15,3.5,3.25,,,,2.11,3.59,3.36,2.1,3.5,3.2,2.05,3.4,3.2,2.15,3.67,3.39,2.11,3.49,3.24,1.83,2.03,1.8,2.03,1.84,2.04,1.79,1.98,-0.25,1.85,2,1.84,2.02,1.87,2.02,1.83,1.95,2.2,3.6,3,2.25,3.5,3,,,,2.28,3.49,3.21,2.1,3.5,3.2,2.2,3.5,3,2.29,3.72,3.22,2.24,3.48,3.06,1.73,2.08,1.75,2.14,1.78,2.23,1.72,2.11,-0.25,1.98,1.88,1.98,1.91,2.02,1.94,1.92,1.89
D1,10/05/2024,19:30,Augsburg,Stuttgart,0,1,A,0,0,D,,9,19,1,7,15,9,5,5,4,2,0,0,4,4.2,1.75,3.8,4.33,1.77,,,,3.92,4.45,1.82,3.75,4.4,1.75,3.8,4.33,1.8,4,4.52,1.85,3.88,4.34,1.81,1.36,3.2,1.37,3.25,1.41,3.33,1.36,3.16,0.5,2.05,1.75,2.1,1.81,2.16,1.83,2.07,1.8,4,4.2,1.75,3.8,4.2,1.78,,,,4.02,4.41,1.81,3.9,4.6,1.7,4,4.4,1.75,4.25,4.6,1.81,4,4.38,1.77,1.4,3,1.39,3.14,1.4,3.4,1.36,3.22,0.75,1.9,2,1.91,2.02,1.94,2.04,1.9,1.95
D1,11/05/2024,14:30,FC Koln,Union Berlin,3,2,H,1,2,A,,18,14,5,6,15,16,6,8,3,2,0,0,2.8,3.3,2.55,2.75,3.4,2.5,,,,2.79,3.39,2.63,2.8,3.5,2.4,2.75,3.4,2.55,2.9,3.54,2.66,2.8,3.38,2.57,2.05,1.85,2.05,1.85,2.06,1.89,1.98,1.82,0,2.03,1.87,2.01,1.89,2.08,1.89,2.02,1.83,2.55,3.3,2.75,2.55,3.3,2.7,,,,2.59,3.45,2.85,2.6,3.4,2.6,2.55,3.4,2.75,2.79,3.48,2.85,2.59,3.37,2.74,1.95,1.95,1.95,1.95,2.02,1.96,1.91,1.9,0,1.86,2.07,1.87,2.06,2.02,2.08,1.88,1.99
D1,11/05/2024,14:30,Freiburg,Heidenheim,1,1,D,1,1,D,,19,9,3,3,9,11,2,4,1,1,0,0,1.7,4,4.5,1.77,3.9,4.33,,,,1.72,4.07,4.78,1.7,4.2,4.33,1.7,4.2,4.5,1.77,4.26,4.9,1.73,4.06,4.59,1.62,2.3,1.65,2.32,1.69,2.4,1.63,2.31,-0.75,1.91,1.99,1.92,1.99,1.95,2.02,1.89,1.95,1.75,4,4.33,1.75,3.9,4.4,,,,1.78,3.98,4.59,1.73,4,4.33,1.73,4.1,4.4,1.81,4.1,4.67,1.76,4,4.46,1.67,2.2,1.72,2.22,1.72,2.33,1.66,2.25,-0.75,2,1.93,2.01,1.92,2.01,1.97,1.95,1.9
