"matchday","BS_offline","BS_online"
20,0.087579488,0.087349214
21,0.077851592,0.074806944
22,0.104955731,0.106257386
23,0.084710504,0.085922906
24,0.077836128,0.086620394
25,0.092474298,0.090310344
26,0.074909534,0.075643595
27,0.054072978,0.066484158
28,0.020856776,0.022042898
29,0.021711289,0.015561176
30,0.061299746,0.060803069
31,0.12765195,0.129818225
32,0.032062526,0.038018934
33,0.095766426,0.087298418
34,0.033939938,0.035505834
35,0.061134461,0.082605565
36,0.070244006,0.059844734
37,0.082483992,0.086444509
38,0.044021021,0.039040531
