"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
88,47,46,48,51,49,82,66,22,37,67,51,59,75,23,48,87,18,43,32
88,48,49,49,43,51,72,61,28,39,79,61,66,69,23,56,78,18,30,30
86,50,49,51,49,41,75,59,24,42,68,70,64,74,22,49,82,22,29,29
84,50,52,53,55,43,90,60,32,41,67,65,55,63,26,46,78,21,23,23
83,48,42,57,53,52,73,60,28,39,69,57,65,78,22,49,82,22,25,28
85,48,43,59,57,45,76,63,21,43,80,57,59,66,21,49,82,16,41,30
89,55,50,47,45,49,76,62,23,50,71,68,62,67,20,51,78,19,37,26
84,49,48,55,37,51,79,66,30,29,73,57,60,76,25,50,78,17,34,36
92,47,47,47,47,38,78,67,28,42,83,66,64,69,18,42,76,26,26,32
87,55,56,48,47,56,70,58,22,31,70,64,56,63,25,56,73,22,44,32
97,44,44,54,46,47,70,62,33,34,73,61,62,74,27,49,77,29,35,29
97,49,49,53,50,43,68,55,24,39,79,68,60,66,27,53,81,22,28,25
82,54,43,49,50,46,83,61,28,38,69,74,64,72,22,46,77,16,28,32
94,46,45,52,53,47,78,73,25,44,67,66,71,62,20,44,88,20,25,30
92,60,38,51,50,42,81,66,24,42,77,59,64,61,24,41,86,22,33,34
87,57,46,54,52,44,79,60,26,32,79,63,67,70,29,42,78,14,30,30
93,51,34,54,56,53,77,63,24,32,71,63,65,67,21,47,80,23,28,32
91,48,58,53,46,38,67,63,23,51,68,53,69,67,23,46,83,20,34,27
95,47,44,48,56,47,66,54,27,50,67,69,64,67,19,44,75,21,39,34
90,44,49,48,50,51,75,64,31,35,81,60,61,71,16,58,77,22,36,29
89,45,50,62,51,54,79,67,31,37,68,61,55,67,21,52,77,22,31,30
85,55,49,51,47,46,84,56,25,37,74,61,62,73,23,47,75,30,32,30
80,49,44,38,48,51,83,65,33,44,74,59,72,64,22,45,83,16,31,28
95,46,54,46,44,51,78,69,29,38,69,68,59,66,26,50,76,12,34,30
85,46,36,52,49,48,74,61,19,34,75,54,69,66,23,65,79,20,43,35
93,44,48,54,56,40,76,73,27,44,74,60,72,64,22,43,76,12,27,32
86,53,51,56,46,43,74,55,24,39,73,66,65,69,20,40,89,26,30,32
89,45,47,60,50,50,75,64,23,38,75,61,71,63,21,42,90,17,30,30
98,60,53,50,43,42,70,61,22,44,59,66,65,66,23,56,82,20,27,29
93,55,54,57,52,47,84,64,23,40,70,57,59,71,30,46,77,15,24,31
99,43,42,58,44,43,75,63,28,47,74,69,55,62,21,45,88,20,30,39
93,54,48,59,46,61,83,59,26,40,69,61,56,62,24,44,79,14,34,29
81,52,46,54,51,41,78,73,21,43,80,65,64,65,24,49,89,16,22,35
91,53,47,48,37,58,80,64,31,48,68,57,65,70,24,44,72,24,30,26
94,46,40,55,54,53,83,64,31,32,76,62,61,69,18,50,84,12,33,31
89,52,50,52,59,41,77,57,28,34,75,54,61,75,28,54,72,18,29,40
84,54,50,50,51,45,80,65,26,39,71,66,63,70,18,54,83,16,29,30
95,53,42,61,48,50,74,50,32,37,64,57,61,70,28,49,89,25,29,34
90,48,48,54,41,46,84,58,31,35,65,55,63,64,22,53,86,17,36,36
90,50,52,50,50,56,82,69,22,36,78,64,61,64,21,41,76,14,24,40
90,52,50,49,57,43,81,58,27,40,70,59,56,78,23,44,86,17,28,30
85,46,49,51,55,39,82,68,25,40,74,63,57,63,22,47,84,16,41,35
80,54,35,54,49,48,77,65,23,45,75,54,62,74,20,57,85,13,41,32
85,57,48,42,46,45,79,67,30,42,66,57,60,72,27,49,79,20,31,34
85,45,53,46,55,50,84,62,27,37,73,58,68,77,26,53,76,17,32,25
88,61,44,50,51,47,76,69,21,40,71,59,63,65,21,49,80,18,32,30
87,53,45,58,55,56,78,60,26,36,72,62,48,77,20,53,77,17,24,34
89,63,37,53,53,55,82,55,22,34,77,58,60,69,25,48,83,19,32,29
86,56,52,58,58,40,81,55,32,43,70,53,61,66,20,41,78,17,32,34
81,49,43,56,49,46,79,63,29,43,80,63,60,70,22,50,79,22,38,29
