"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
92,51,44,53,50,50,73,67,23,33,68,59,71,74,20,50,75,21,28,36
91,48,48,55,56,39,73,62,32,41,72,65,67,67,25,45,83,17,24,28
86,57,45,44,49,44,81,60,33,34,75,60,59,66,21,54,86,24,31,29
94,58,49,54,52,48,83,48,25,37,74,63,69,63,21,46,78,18,35,27
88,63,47,53,50,53,86,59,31,36,66,61,61,68,18,49,75,18,32,30
83,59,52,53,47,41,82,71,25,41,75,54,54,58,23,51,77,17,44,26
90,53,57,56,45,57,86,54,23,41,72,63,69,68,16,39,89,21,27,29
85,49,43,55,51,46,82,67,24,40,75,63,64,75,20,48,75,19,26,30
87,42,46,51,52,42,79,59,33,31,80,58,78,69,26,50,83,22,28,33
88,49,51,52,52,50,80,66,21,38,77,64,72,72,18,44,73,16,38,25
98,49,48,46,54,39,80,63,28,38,75,63,62,67,16,56,80,17,35,29
86,59,50,61,46,36,88,68,24,37,79,55,59,63,27,49,86,23,28,30
91,49,42,52,54,46,77,77,30,35,76,55,68,64,25,43,79,15,31,28
92,46,49,53,56,41,83,67,25,41,68,65,56,71,22,50,82,19,29,32
89,44,41,54,60,49,74,61,28,41,73,64,67,67,22,50,77,19,29,28
95,50,50,49,51,47,74,70,35,34,74,66,69,63,20,48,82,15,22,37
95,61,46,56,50,52,79,56,25,36,85,49,67,68,21,54,73,14,28,31
83,55,46,52,47,51,82,63,26,34,72,64,69,65,20,49,78,14,34,31
86,49,40,57,50,47,82,64,29,32,67,61,66,62,27,57,85,18,31,28
92,51,43,53,50,54,81,72,28,43,76,54,59,65,21,43,80,13,27,40
87,47,58,58,55,48,76,59,22,38,69,65,70,78,19,43,85,19,27,22
90,49,51,47,54,49,70,70,21,40,75,73,61,66,22,38,80,25,37,27
88,48,47,54,52,51,72,60,24,45,91,66,65,74,19,49,77,15,25,27
85,43,39,52,50,46,78,69,30,42,72,68,63,65,19,55,78,20,33,29
86,45,46,57,45,50,84,68,25,34,69,60,64,72,23,57,76,16,30,34
93,50,42,48,49,37,76,69,30,46,73,61,60,61,21,65,85,21,31,29
89,54,50,53,53,54,79,59,26,35,79,67,62,72,18,43,76,16,24,30
81,61,48,55,52,46,80,66,24,41,74,65,59,70,18,55,82,16,35,23
85,49,52,56,50,43,84,58,24,37,78,49,66,73,23,54,83,15,37,32
87,58,64,59,43,43,72,61,24,41,75,52,68,62,22,44,79,23,26,37
92,49,48,57,49,39,80,62,20,38,79,65,63,70,20,44,77,18,35,32
88,54,45,48,55,45,81,67,19,41,77,64,56,67,22,55,82,14,26,31
89,43,46,50,52,49,74,57,27,38,73,65,68,66,20,52,89,21,35,36
91,46,40,56,55,48,71,68,28,38,79,66,58,69,21,42,82,20,30,30
89,51,44,59,50,43,82,64,32,35,68,59,66,63,18,50,76,16,36,39
101,51,46,45,45,50,84,56,28,52,72,59,68,57,20,51,88,14,29,35
92,39,36,51,55,51,83,55,24,46,76,63,61,67,22,51,78,26,27,30
87,56,42,64,54,45,82,64,25,38,79,66,62,65,18,44,79,16,31,29
93,57,49,57,54,45,85,65,25,33,71,62,49,68,23,40,90,21,26,30
85,49,49,54,45,49,77,59,30,43,71,64,61,73,18,48,82,24,35,28
86,47,50,58,46,47,77,56,22,44,76,64,66,70,20,47,83,17,28,37
92,50,47,62,56,41,82,69,18,38,72,61,74,63,19,47,81,17,32,25
96,58,47,46,50,48,77,65,33,42,67,59,66,73,17,44,82,18,31,25
89,47,48,56,46,51,85,65,24,44,75,66,57,60,23,48,72,20,26,40
93,50,46,51,47,48,76,75,33,38,72,56,66,77,24,42,81,18,25,26
91,57,44,58,48,41,74,77,21,44,80,65,52,72,17,55,84,22,27,31
94,55,56,50,44,48,75,62,28,39,79,64,58,75,22,46,77,20,26,23
88,52,54,49,49,48,77,67,29,39,73,64,57,64,19,51,76,16,34,25
79,48,44,59,48,45,74,62,29,52,76,59,57,72,19,49,80,19,33,33
90,47,52,64,52,54,75,69,24,36,75,56,63,64,18,43,80,17,34,24
91,48,45,66,44,46,75,64,23,36,67,67,68,71,15,50,82,19,34,30
95,45,44,51,52,44,79,65,25,40,76,65,64,65,21,54,83,22,30,25
92,47,60,42,49,49,78,59,35,37,70,60,64,66,18,47,82,24,25,30
84,50,47,50,48,40,77,70,25,36,80,64,63,72,19,51,88,12,29,33
97,54,53,61,46,46,81,58,26,46,70,63,65,65,19,49,75,13,36,24
86,55,51,51,48,41,85,56,23,48,70,64,57,69,21,50,87,14,28,34
93,53,55,52,43,41,79,65,25,41,60,62,67,59,27,50,84,19,34,28
